"artist","song","won_grammy","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_sec","weeks_on_chart","peak_position","started_charting","charted_q1","charted_q2","charted_q3","charted_q4"
"Bad Company","If You Needed Somebody","No",FALSE,0.496,0.514,7,-13.394,"1",0.0274,0.0044,0.000106,0.0429,0.388,168.324,"4",261,24,16,1990,TRUE,TRUE,FALSE,TRUE
"Betty Wright","Clean up Woman","No",FALSE,0.81,0.739,5,-7.27,"1",0.0791,0.437,9.13e-05,0.0717,0.877,89.618,"4",166.533,14,6,1971,TRUE,FALSE,FALSE,TRUE
"Betty Wright","Baby Sitter","No",FALSE,0.809,0.65,0,-7.811,"1",0.0452,0.61,0.0152,0.117,0.966,117.067,"4",172.12,10,46,1972,FALSE,FALSE,FALSE,TRUE
"Betty Wright","Girls Can't Do What the Guys Do","No",FALSE,0.487,0.709,2,-7.513,"0",0.248,0.373,1.11e-06,0.0665,0.812,163.873,"4",126.16,8,33,1968,FALSE,FALSE,TRUE,FALSE
"Betty Wright","It's Hard to Stop (Doing Something When It's Good to You)","No",FALSE,0.695,0.625,10,-10.258,"1",0.0319,0.731,0.177,0.101,0.932,108.143,"4",190.306,6,72,1973,FALSE,TRUE,FALSE,FALSE
"Betty Wright","Secretary","No",FALSE,0.82,0.529,2,-10.43,"0",0.0302,0.118,9.85e-05,0.0512,0.969,108.609,"4",173.973,8,62,1974,FALSE,FALSE,TRUE,FALSE
"Betty Wright","Where Is the Love","No",FALSE,0.659,0.807,10,-7.662,"1",0.0457,0.0687,0.00277,0.149,0.973,126.662,"4",238.227,1,96,1975,FALSE,TRUE,FALSE,FALSE
"Lil Tjay","F.N","No",TRUE,0.567,0.515,6,-10.265,"0",0.247,0.354,0,0.078,0.321,120.1,"1",224,14,56,2019,FALSE,FALSE,TRUE,TRUE
"Normani","Motivation","No",FALSE,0.599,0.887,4,-3.967,"1",0.0984,0.0192,1.21e-06,0.3,0.881,170.918,"4",193.837,10,33,2019,FALSE,FALSE,TRUE,TRUE
"Starship","We Built This City","No",FALSE,0.649,0.82,5,-8.841,"1",0.0353,0.0471,0,0.0816,0.702,144.226,"4",294.933,24,1,1985,TRUE,FALSE,TRUE,TRUE
"James Ingram","I Don't Have the Heart","No",FALSE,0.487,0.423,2,-8.181,"1",0.0243,0.658,0,0.109,0.334,88.883,"4",253.507,26,1,1990,TRUE,FALSE,TRUE,TRUE
"Al Jarreau","After All","No",FALSE,0.476,0.388,1,-8.288,"1",0.0286,0.584,2.58e-05,0.061,0.295,62.076,"4",240.24,9,69,1984,FALSE,FALSE,FALSE,TRUE
"Bettye Swann","Today I Started Loving You Again","No",FALSE,0.417,0.383,1,-11.828,"1",0.0282,0.727,0,0.106,0.49,103.013,"4",172.147,7,46,1973,TRUE,FALSE,FALSE,FALSE
"Russell Dickerson","Every Little Thing","No",FALSE,0.637,0.853,1,-4.664,"1",0.109,0.216,0,0.0357,0.861,93.87,"4",190.64,12,50,2019,FALSE,FALSE,TRUE,TRUE
"Russell Dickerson","Yours","No",FALSE,0.554,0.722,11,-6.005,"1",0.034,0.119,0,0.0861,0.558,134.058,"4",216.96,20,49,2017,TRUE,FALSE,FALSE,TRUE
"Russell Dickerson","Blue Tacoma","No",FALSE,0.458,0.897,9,-4.879,"1",0.0402,0.0183,0,0.174,0.728,160.131,"4",212.067,19,52,2018,TRUE,FALSE,TRUE,TRUE
"John Cafferty & the Beaver Brown Band","Voice Of America's Sons","No",FALSE,0.589,0.781,5,-10.09,"1",0.0278,0.00172,0.00085,0.0767,0.577,77.71,"4",280.267,8,62,1986,FALSE,TRUE,TRUE,FALSE
"John Cafferty & the Beaver Brown Band","Tough All Over","No",FALSE,0.609,0.799,9,-10.352,"1",0.0349,0.0188,1.01e-05,0.0779,0.505,132.961,"4",277.533,15,22,1985,FALSE,TRUE,TRUE,FALSE
"John Cafferty & the Beaver Brown Band","C-I-T-Y","No",FALSE,0.517,0.821,5,-10.061,"1",0.0437,0.196,0,0.101,0.925,178.906,"4",215.627,15,18,1985,FALSE,FALSE,TRUE,TRUE
"John Cafferty & the Beaver Brown Band","Small Town Girl","No",FALSE,0.564,0.557,0,-9.91,"1",0.0243,0.407,3.22e-06,0.145,0.887,82.779,"4",262.16,10,64,1985,TRUE,FALSE,FALSE,TRUE
"Major Harris","Love Won't Let Me Wait","No",FALSE,0.569,0.205,9,-17.148,"1",0.0358,0.919,1.94e-06,0.0894,0.327,115.705,"3",333.093,18,5,1975,TRUE,TRUE,TRUE,FALSE
"Miley Cyrus","Slide Away","No",FALSE,0.53,0.538,5,-6.672,"1",0.0335,0.17,2.83e-06,0.248,0.288,148.051,"4",233.654,6,47,2019,FALSE,FALSE,TRUE,TRUE
"Maroon 5","Memories","No",FALSE,0.767,0.331,11,-7.063,"1",0.0583,0.847,0,0.201,0.558,91.075,"4",184.853,41,2,2019,TRUE,TRUE,TRUE,TRUE
"Halsey","Graveyard","No",FALSE,0.722,0.558,7,-5.087,"1",0.0585,0.293,9.32e-05,0.162,0.211,92.014,"4",181.04,20,34,2019,TRUE,FALSE,TRUE,TRUE
"SHAED","Trampoline","No",FALSE,0.6,0.46,7,-5.781,"0",0.0325,0.544,0,0.236,0.543,127.041,"4",181.947,39,13,2019,TRUE,TRUE,TRUE,TRUE
"Selena Gomez","Lose You to Love Me","No",FALSE,0.418,0.32,4,-8.938,"1",0.0495,0.504,0,0.213,0.104,128.72,"5",205.027,23,1,2019,TRUE,TRUE,FALSE,TRUE
"Post Malone","Circles","No",FALSE,0.702,0.757,0,-3.472,"1",0.0385,0.231,0.00187,0.111,0.519,120.023,"4",211.693,61,1,2019,TRUE,TRUE,TRUE,TRUE
"Travis Scott","HIGHEST IN THE ROOM","No",FALSE,0.605,0.408,7,-8.795,"0",0.0334,0.0573,7.47e-06,0.199,0.0642,76.553,"4",175.72,22,1,2019,TRUE,TRUE,FALSE,TRUE
"NF","Time","No",FALSE,0.669,0.704,0,-3.996,"0",0.0633,0.141,0,0.211,0.176,98.028,"4",236.493,20,41,2019,FALSE,FALSE,TRUE,TRUE
"Billie Eilish","all the good girls go to hell","No",FALSE,0.737,0.438,1,-8.902,"0",0.367,0.301,0.2,0.221,0.554,185.024,"4",163.107,7,46,2019,FALSE,TRUE,FALSE,TRUE
"Niall Horan","Nice to Meet Ya","No",FALSE,0.594,0.84,4,-4.336,"0",0.0321,0.0119,0,0.199,0.38,109.013,"4",158.24,14,63,2019,TRUE,FALSE,FALSE,TRUE
"Luke Combs","Even Though I'm Leaving","No",FALSE,0.538,0.741,2,-6.375,"1",0.0302,0.247,0,0.304,0.595,156.034,"4",225.267,24,11,2019,TRUE,TRUE,TRUE,TRUE
"Linkin Park","Crawling","No",FALSE,0.581,0.699,4,-5.564,"1",0.0337,0.0455,3.74e-06,0.536,0.282,105.074,"4",208.96,20,79,2001,FALSE,FALSE,TRUE,TRUE
"Linkin Park","In the End","No",FALSE,0.555,0.844,3,-6.567,"0",0.0553,0.00818,0,0.0895,0.464,105.193,"4",216.8,39,2,2001,TRUE,TRUE,TRUE,TRUE
"Death Cab for Cutie","I Will Possess Your Heart","No",FALSE,0.605,0.619,9,-8.971,"0",0.0261,0.423,0.313,0.0732,0.578,133.074,"4",505.773,12,70,2008,FALSE,TRUE,TRUE,FALSE
"Joe Cocker","Shelter Me","No",FALSE,0.65,0.67,9,-10.705,"1",0.0394,0.219,0.00933,0.098,0.622,120.44,"4",340.907,4,91,1986,TRUE,FALSE,FALSE,FALSE
"Tony Orlando & Dawn","Look In My Eyes Pretty Woman","No",FALSE,0.665,0.667,0,-10.026,"1",0.0433,0.416,0,0.185,0.956,123.946,"4",187,12,11,1974,TRUE,FALSE,FALSE,TRUE
"Tony Orlando & Dawn","Skybird","No",FALSE,0.419,0.415,4,-11.844,"1",0.0376,0.246,5.25e-05,0.14,0.419,122.354,"4",229.267,5,49,1975,FALSE,FALSE,FALSE,TRUE
"Eddy Arnold","The Last Word in Lonesome Is Me","No",FALSE,0.187,0.168,9,-19.566,"1",0.0311,0.952,0.00261,0.326,0.27,173.133,"3",133.427,7,40,1966,FALSE,TRUE,FALSE,FALSE
"Pete Rock & C.L. Smooth","They Reminisce Over You (T.R.O.Y.)","No",FALSE,0.761,0.683,2,-10.889,"1",0.164,0.141,0,0.342,0.671,101.787,"4",286.693,15,58,1992,FALSE,TRUE,TRUE,TRUE
"Nickelback","Something In Your Mouth","No",FALSE,0.663,0.977,0,-3.024,"1",0.0575,0.00137,1.77e-05,0.173,0.746,129.975,"4",219.253,1,96,2008,FALSE,FALSE,FALSE,TRUE
"Axe","I Think You'll Remember Tonight","No",FALSE,0.66,0.673,2,-8.557,"1",0.0291,0.178,0.00324,0.0925,0.602,111.268,"4",234.307,2,94,1983,FALSE,FALSE,FALSE,TRUE
"Alannah Myles","Love Is","No",FALSE,0.654,0.924,2,-7.44,"1",0.0969,0.00309,0.00231,0.316,0.506,101.154,"4",216.107,13,36,1990,FALSE,TRUE,TRUE,FALSE
"Winger","Hungry","No",FALSE,0.489,0.73,8,-7.645,"0",0.0293,0.00525,2.43e-05,0.113,0.444,84.987,"4",241,6,85,1989,FALSE,FALSE,TRUE,TRUE
"BROCKHAMPTON","SUGAR","No",TRUE,0.453,0.538,1,-8.212,"1",0.0638,0.449,0,0.19,0.516,122.973,"4",204.533,9,66,2020,TRUE,FALSE,FALSE,FALSE
"Talking Heads","Once in a Lifetime","No",FALSE,0.646,0.88,2,-7.753,"1",0.0637,0.0623,0.157,0.355,0.802,116.916,"4",259.6,4,91,1986,FALSE,TRUE,FALSE,FALSE
"Pete Rock & C.L. Smooth","Take You There","No",FALSE,0.746,0.516,7,-10.643,"1",0.246,0.0371,0.000736,0.228,0.565,94.955,"4",284.533,5,76,1995,TRUE,FALSE,FALSE,FALSE
"Dokken","Burning Like a Flame","No",FALSE,0.488,0.926,7,-5.724,"1",0.0654,0.00165,0,0.361,0.401,138.231,"4",284.533,8,72,1987,TRUE,FALSE,FALSE,TRUE
"Bad Company","Shake It Up","No",FALSE,0.536,0.661,7,-12.063,"1",0.0287,0.00825,0,0.0633,0.844,106.221,"4",238.507,8,82,1989,FALSE,TRUE,FALSE,FALSE
"Syl Johnson","Come On Sock It to Me","No",FALSE,0.73,0.684,2,-5.62,"1",0.0502,0.403,9e-06,0.212,0.762,117.049,"4",147.56,3,97,1967,FALSE,FALSE,TRUE,FALSE
"Syl Johnson","Different Strokes","No",FALSE,0.836,0.743,2,-9.622,"1",0.092,0.1,0.0113,0.173,0.784,108.061,"4",139.667,2,95,1967,FALSE,FALSE,FALSE,TRUE
"Nas","It Ain't Hard to Tell","No",TRUE,0.69,0.729,11,-5.819,"0",0.221,1.7e-05,0.0431,0.152,0.357,91.376,"4",202.107,8,91,1994,FALSE,TRUE,FALSE,FALSE
"Billy Squier","The Stroke","No",FALSE,0.692,0.548,10,-6.737,"0",0.0605,0.555,0,0.471,0.742,91.395,"4",216.653,20,17,1981,FALSE,TRUE,TRUE,FALSE
"Loverboy","Working for the Weekend","No",FALSE,0.45,0.933,7,-5.783,"1",0.05,0.0117,0.00221,0.38,0.667,146.948,"4",220.533,20,29,1981,TRUE,FALSE,FALSE,TRUE
"Bachman-Turner Overdrive","Takin' Care Of Business","No",FALSE,0.706,0.914,10,-6.245,"1",0.0485,0.0446,0,0.137,0.963,130.16,"4",289.24,20,12,1974,FALSE,TRUE,TRUE,FALSE
"The Firm","Radioactive","No",FALSE,0.579,0.601,9,-14.415,"0",0.0337,0.163,0,0.0536,0.615,106.2,"4",169.2,15,28,1985,TRUE,TRUE,FALSE,FALSE
"Yes","It Can Happen","No",FALSE,0.55,0.657,0,-14.369,"1",0.0314,0.0545,0.000151,0.283,0.489,111.857,"4",327.067,7,51,1984,FALSE,TRUE,TRUE,FALSE
"Galantis","No Money","No",FALSE,0.674,0.915,6,-3.999,"0",0.0411,0.0282,0.00337,0.273,0.78,126.038,"4",191.293,5,88,2016,FALSE,FALSE,TRUE,FALSE
"Anuel AA","Keii","No",FALSE,0.708,0.797,0,-3.095,"0",0.0391,0.4,0,0.096,0.51,88.015,"4",210,1,83,2020,TRUE,FALSE,FALSE,FALSE
"Khalid","Bad Luck","No",FALSE,0.432,0.52,1,-5.515,"0",0.0548,0.277,0.371,0.138,0.303,164.047,"4",231.653,1,87,2019,FALSE,TRUE,FALSE,FALSE
"Paul Simon","Late in the Evening","No",FALSE,0.72,0.88,5,-8.988,"1",0.0406,0.199,0.0246,0.0865,0.961,118.623,"4",242.707,16,6,1980,FALSE,FALSE,TRUE,TRUE
"Boz Scaggs","Hollywood","No",FALSE,0.71,0.658,9,-11.231,"0",0.0346,0.144,5.57e-06,0.0722,0.937,106.878,"4",189.333,10,49,1978,TRUE,TRUE,FALSE,FALSE
"The Irish Rovers","The Unicorn","No",FALSE,0.572,0.881,3,-5.742,"1",0.0715,0.659,0,0.349,0.819,123.19,"4",179.227,12,7,1968,TRUE,TRUE,FALSE,FALSE
"James Taylor","Everyday","No",FALSE,0.748,0.532,1,-9.103,"0",0.0286,0.461,8.52e-05,0.0757,0.477,102.048,"4",196.64,11,61,1985,TRUE,FALSE,FALSE,TRUE
"Ray Parker Jr.","The Other Woman","No",FALSE,0.909,0.544,9,-11.692,"1",0.0529,0.139,0.00614,0.457,0.962,125.918,"4",247.96,21,4,1982,TRUE,TRUE,TRUE,FALSE
