"artist","song","won_grammy","explicit","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","duration_sec","weeks_on_chart","peak_position","started_charting","charted_q1","charted_q2","charted_q3","charted_q4"
"Billie Eilish","bad guy","Yes",FALSE,0.701,0.494,7,-8.889,"1",0.397,0.126,0.0761,0.113,0.648,135.075,"4",191.227,49,1,2019,TRUE,TRUE,TRUE,TRUE
"Childish Gambino","This Is America","Yes",TRUE,0.854,0.463,5,-6.159,"1",0.137,0.117,0,0.354,0.549,120.024,"4",225.773,17,1,2018,FALSE,TRUE,TRUE,FALSE
"Bruno Mars","That's What I Like","Yes",FALSE,0.853,0.56,1,-4.961,"1",0.0406,0.013,0,0.0944,0.86,134.066,"4",206.693,52,1,2016,TRUE,TRUE,TRUE,TRUE
"Adele","Hello","Yes",FALSE,0.481,0.451,5,-6.095,"0",0.0347,0.336,0,0.0872,0.289,157.966,"4",295.493,26,1,2015,TRUE,TRUE,FALSE,TRUE
"Ed Sheeran","Thinking Out Loud","Yes",FALSE,0.781,0.445,2,-6.061,"1",0.0295,0.474,0,0.184,0.591,78.998,"4",281.56,58,2,2014,TRUE,TRUE,TRUE,TRUE
"Sam Smith","Stay With Me","Yes",FALSE,0.418,0.42,0,-6.444,"1",0.0414,0.588,6.39e-05,0.11,0.184,84.094,"4",172.724,54,2,2014,TRUE,TRUE,TRUE,TRUE
"Lorde","Royals","Yes",FALSE,0.674,0.428,7,-9.504,"1",0.122,0.121,0,0.132,0.337,84.878,"4",190.185,44,1,2013,TRUE,TRUE,TRUE,TRUE
"fun. Featuring Janelle Monae","We Are Young","Yes",FALSE,0.378,0.638,10,-5.576,"1",0.075,0.02,7.66e-05,0.0849,0.735,184.086,"4",250.626,42,1,2011,TRUE,TRUE,TRUE,TRUE
"Adele","Rolling in the Deep","Yes",FALSE,0.729,0.756,8,-5.119,"1",0.0294,0.131,0,0.0527,0.522,104.945,"4",228.293,65,1,2010,TRUE,TRUE,TRUE,TRUE
"Lady Antebellum","Need You Now","Yes",FALSE,0.581,0.717,4,-4.433,"1",0.0318,0.0298,0.000186,0.243,0.316,107.884,"4",236.44,60,2,2009,TRUE,TRUE,TRUE,TRUE
"Beyoncé","Single Ladies (Put a Ring on It)","Yes",FALSE,0.427,0.606,1,-4.795,"1",0.289,0.0325,0,0.153,0.271,193.214,"4",193.493,27,1,2008,TRUE,TRUE,FALSE,TRUE
"Coldplay","Viva La Vida - Live from Spotify London","Yes",FALSE,0.433,0.922,8,-6.8,"1",0.12,0.123,4.8e-06,0.93,0.5,138.203,"3",234.027,51,1,2008,TRUE,TRUE,TRUE,TRUE
"Amy Winehouse","Rehab","Yes",FALSE,0.434,0.872,0,-2.974,"1",0.0702,0.0473,1.83e-06,0.396,0.732,71.515,"4",213.76,20,9,2007,TRUE,TRUE,TRUE,FALSE
"Dixie Chicks","Not Ready To Make Nice","Yes",FALSE,0.349,0.74,6,-2.95,"1",0.0381,0.346,7.77e-05,0.885,0.283,167.838,"4",230.44,24,4,2006,TRUE,TRUE,TRUE,FALSE
"U2","Sometimes You Can't Make It On Your Own","Yes",FALSE,0.53,0.597,2,-5.652,"1",0.0247,0.00275,0.473,0.105,0.346,96,"4",305.08,3,97,2005,FALSE,TRUE,FALSE,FALSE
"John Mayer","Daughters","Yes",FALSE,0.674,0.413,2,-7.816,"1",0.0274,0.837,1.91e-05,0.098,0.503,124.895,"3",237.907,23,19,2004,TRUE,TRUE,FALSE,TRUE
"Luther Vandross","Dance With My Father","Yes",FALSE,0.746,0.403,10,-7.187,"1",0.0352,0.507,1.2e-06,0.075,0.227,80.956,"4",259.4,20,38,2003,FALSE,TRUE,TRUE,TRUE
"Norah Jones","Don't Know Why","Yes",FALSE,0.745,0.219,5,-11.216,"1",0.0276,0.851,1.8e-05,0.0678,0.635,88.609,"4",186.251,31,30,2002,TRUE,TRUE,TRUE,TRUE
"Alicia Keys","Fallin' - Radio Edit","Yes",FALSE,0.645,0.536,11,-10.339,"0",0.0368,0.213,0.000734,0.104,0.555,96.002,"3",195.16,34,1,2001,TRUE,TRUE,TRUE,TRUE
"U2","Beautiful Day","Yes",FALSE,0.536,0.928,11,-6.492,"0",0.0589,0.0154,0.00134,0.2,0.389,136.258,"4",248.4,25,21,2000,TRUE,FALSE,FALSE,TRUE
"Santana","Smooth (feat. Rob Thomas)","Yes",FALSE,0.612,0.923,9,-3.879,"1",0.0317,0.157,4.43e-05,0.12,0.959,115.952,"4",295.987,58,1,1999,TRUE,TRUE,TRUE,TRUE
"Céline Dion","My Heart Will Go On - Love Theme from ""Titanic""","Yes",FALSE,0.244,0.36,4,-9.05,"1",0.0321,0.725,0,0.137,0.0381,98.347,"1",280.133,20,1,1998,TRUE,TRUE,TRUE,FALSE
"Shawn Colvin","Sunny Came Home","Yes",FALSE,0.554,0.58,11,-8.05,"0",0.0322,0.344,0.00842,0.0989,0.402,167.83,"4",264.2,32,7,1997,TRUE,FALSE,TRUE,TRUE
"Eric Clapton","Change The World","Yes",FALSE,0.719,0.556,9,-0.77,"1",0.0248,0.477,0.00511,0.0935,0.511,96.9,"4",234.813,43,5,1996,TRUE,TRUE,TRUE,TRUE
"Seal","Kiss From A Rose","Yes",FALSE,0.583,0.41,8,-11.679,"1",0.0311,0.667,0,0.118,0.209,131.713,"3",287.467,36,1,1995,TRUE,TRUE,TRUE,TRUE
"Bruce Springsteen","Streets of Philadelphia","Yes",FALSE,0.708,0.19,5,-16.578,"1",0.0326,0.194,0.226,0.0916,0.47,93.669,"4",252.493,20,9,1994,TRUE,TRUE,TRUE,FALSE
"Peabo Bryson","A Whole New World (Aladdin's Theme)","Yes",FALSE,0.516,0.374,2,-7.922,"1",0.0282,0.55,0,0.133,0.119,107.869,"4",243.04,23,1,1992,TRUE,TRUE,FALSE,TRUE
"Eric Clapton","Tears In Heaven","Yes",FALSE,0.511,0.181,9,-16.968,"1",0.0273,0.922,0.0292,0.695,0.38,85.747,"4",256.587,26,2,1992,TRUE,TRUE,TRUE,FALSE
"Natalie Cole","Unforgettable (Duet with Nat King Cole)","Yes",FALSE,0.307,0.289,5,-13.369,"1",0.0281,0.851,0.000126,0.0798,0.145,85.948,"4",210.907,17,14,1991,FALSE,FALSE,TRUE,TRUE
"Bette Midler","From a Distance","Yes",FALSE,0.536,0.242,7,-11.716,"1",0.0277,0.674,0,0.331,0.331,137.989,"4",276.346,26,2,1990,TRUE,FALSE,FALSE,TRUE
"Bette Midler","Wind Beneath My Wings","Yes",FALSE,0.51,0.458,10,-7.566,"1",0.0289,0.551,0,0.0853,0.177,123.694,"4",293.853,29,1,1989,TRUE,TRUE,TRUE,FALSE
"Bobby McFerrin","Don't Worry, Be Happy (O.S.T.)","Yes",FALSE,0.673,0.253,11,-18.492,"1",0.247,0.84,1.68e-05,0.142,0.78,68.472,"4",286.853,26,1,1988,TRUE,FALSE,TRUE,TRUE
"James Ingram","Somewhere Out There - Featuring Linda Ronstadt","Yes",FALSE,0.283,0.354,0,-10.096,"1",0.0372,0.848,0.00018899999999999,0.118,0.102,76.275,"4",238.467,22,2,1986,TRUE,TRUE,FALSE,TRUE
"Dionne Warwick","That's What Friends Are For","Yes",FALSE,0.438,0.401,3,-9.352,"1",0.0296,0.495,0,0.979,0.205,61.439,"4",297.387,23,1,1985,TRUE,TRUE,FALSE,TRUE
"U.S.A. For Africa","We Are The World","Yes",FALSE,0.528,0.447,4,-15.255,"1",0.0435,0.189,0,0.0745,0.292,72.58,"4",427.333,18,1,1985,TRUE,TRUE,TRUE,FALSE
"Tina Turner","What's Love Got to Do with It","Yes",FALSE,0.855,0.48,1,-8.902,"1",0.0588,0.254,2.16e-05,0.151,0.798,97.793,"4",230.24,28,1,1984,FALSE,TRUE,TRUE,TRUE
"The Police","Every Breath You Take","Yes",FALSE,0.822,0.478,1,-8.746,"1",0.0343,0.559,0.0073,0.0813,0.722,117.394,"4",251.573,22,1,1983,FALSE,TRUE,TRUE,TRUE
"Willie Nelson","Always On My Mind","Yes",FALSE,0.524,0.261,2,-13.868,"1",0.0272,0.755,0.00105,0.144,0.201,73.36,"4",212.667,23,5,1982,TRUE,TRUE,TRUE,FALSE
"Kim Carnes","Bette Davis Eyes","Yes",FALSE,0.668,0.708,5,-8.725,"1",0.0311,0.0272,0,0.105,0.59,116.619,"4",228.04,26,1,1981,TRUE,TRUE,TRUE,FALSE
"Christopher Cross","Sailing","Yes",FALSE,0.469,0.382,2,-13.203,"1",0.0374,0.364,0.00025,0.36,0.178,149.994,"4",256.147,21,1,1980,FALSE,TRUE,TRUE,TRUE
"The Doobie Brothers","What a Fool Believes","Yes",FALSE,0.646,0.623,8,-8.82,"0",0.0337,0.274,0,0.086,0.978,120.651,"4",219.573,20,1,1979,TRUE,TRUE,FALSE,FALSE
"Billy Joel","Just the Way You Are","Yes",FALSE,0.589,0.453,7,-8.912,"1",0.0397,0.703,2.54e-05,0.134,0.513,139.148,"4",290.573,27,3,1977,TRUE,TRUE,FALSE,TRUE
"Debby Boone","You Light Up My Life","Yes",FALSE,0.171,0.335,2,-10.388,"1",0.0335,0.858,3.01e-05,0.17,0.0685,77.712,"3",218.6,25,1,1977,TRUE,FALSE,TRUE,TRUE
"Barbra Streisand","Evergreen (Love Theme from, ""A Star Is Born"")","Yes",FALSE,0.285,0.178,9,-17.012,"1",0.0325,0.949,0.0951,0.0864,0.181,110.615,"4",184.8,25,1,1976,TRUE,TRUE,FALSE,TRUE
"Barry Manilow","I Write The Songs","Yes",FALSE,0.397,0.381,3,-8.553,"1",0.0294,0.835,0,0.0829,0.423,148.649,"4",239.187,20,1,1975,TRUE,FALSE,FALSE,TRUE
"Judy Collins","Send in the Clowns","Yes",FALSE,0.155,0.0916,3,-19.122,"1",0.0415,0.932,0.000848,0.133,0.113,82.438,"1",242.2,27,19,1975,TRUE,TRUE,TRUE,TRUE
"Barbra Streisand","The Way We Were","Yes",FALSE,0.255,0.278,9,-16.167,"1",0.0355,0.857,0.00021099999999999,0.0958,0.157,135.836,"3",209.507,23,1,1973,TRUE,TRUE,FALSE,TRUE
"Roberta Flack","Killing Me Softly with His Song","Yes",FALSE,0.477,0.381,5,-10.237,"0",0.0342,0.727,0,0.0615,0.329,121.568,"4",286.92,16,1,1973,TRUE,TRUE,FALSE,FALSE
"Roberta Flack","The First Time Ever I Saw Your Face","Yes",FALSE,0.311,0.0264,0,-21.644,"1",0.037,0.731,0.00205,0.156,0.139,120.653,"4",260.666,18,1,1972,TRUE,TRUE,TRUE,FALSE
"James Taylor","You've Got a Friend","Yes",FALSE,0.695,0.282,9,-15.359,"1",0.0295,0.681,0.0267,0.0767,0.445,91.681,"4",268.707,14,1,1971,FALSE,TRUE,TRUE,FALSE
"Simon & Garfunkel","Bridge Over Troubled Water","Yes",FALSE,0.281,0.197,3,-14.028,"1",0.0276,0.837,0.000339,0.102,0.278,83.373,"4",293.373,14,1,1970,TRUE,TRUE,FALSE,FALSE
"Joe South","Games People Play","Yes",FALSE,0.334,0.714,9,-8.379,"1",0.155,0.251,4.26e-05,0.257,0.595,172.288,"4",215.16,12,12,1969,TRUE,FALSE,FALSE,FALSE
"O.C. Smith","Little Green Apples","Yes",FALSE,0.408,0.296,6,-15.525,"1",0.056,0.722,1.67e-06,0.076,0.218,83.825,"4",240,17,2,1968,FALSE,FALSE,TRUE,TRUE
"The 5th Dimension","Up, Up and Away","Yes",FALSE,0.264,0.407,7,-12.199,"0",0.0343,0.629,0,0.361,0.519,160.838,"4",157.533,12,7,1967,FALSE,TRUE,TRUE,FALSE
"Tony Bennett","The Shadow of Your Smile (Love Theme from ""The Sandpiper"")","Yes",FALSE,0.306,0.098,7,-17.247,"1",0.032,0.941,0.0508,0.0974,0.0966,110.333,"4",217.893,6,95,1965,FALSE,FALSE,FALSE,TRUE
"Louis Armstrong","Hello, Dolly!","Yes",FALSE,0.637,0.355,0,-10.812,"1",0.0475,0.754,0,0.0666,0.732,157.302,"4",143.307,22,1,1964,TRUE,TRUE,TRUE,FALSE
"Henry Mancini","Days of Wine and Roses","Yes",FALSE,0.243,0.125,7,-15.241,"0",0.0297,0.935,0,0.16,0.133,81.884,"4",126.707,18,33,1963,TRUE,TRUE,FALSE,FALSE
"Sammy Davis Jr.","What Kind Of Fool Am I? - Live","Yes",FALSE,0.238,0.324,7,-11.068,"0",0.0404,0.94,0.000344,0.589,0.197,80.363,"4",191.467,15,17,1962,FALSE,FALSE,TRUE,TRUE
"Henry Mancini","Moon River (From ""Breakfast at Tiffany's"")","Yes",FALSE,0.239,0.154,0,-20.732,"1",0.0335,0.949,0.0437,0.109,0.0775,91.463,"3",164.8,26,11,1961,TRUE,TRUE,FALSE,TRUE
"Ernest Gold","Theme Of Exodus","Yes",FALSE,0.173,0.36,11,-6.229,"0",0.0292,0.232,0.858,0.227,0.191,82.85,"4",148.293,6,64,1961,TRUE,FALSE,FALSE,FALSE
"Johnny Horton","The Battle Of New Orleans","Yes",FALSE,0.704,0.743,9,-12.069,"1",0.129,0.805,0,0.205,0.92,177.362,"4",151.507,21,1,1959,FALSE,TRUE,TRUE,FALSE
"Rage Against The Machine","Guerrilla Radio","No",TRUE,0.599,0.957,11,-5.764,"1",0.188,0.0129,7.06e-05,0.155,0.489,103.68,"4",206.2,20,69,1999,TRUE,FALSE,FALSE,TRUE
"Will Young","Leave Right Now","No",FALSE,0.641,0.445,6,-8.674,"1",0.0368,0.145,0,0.108,0.383,81.931,"4",214.733,1,81,2010,FALSE,TRUE,FALSE,FALSE
"The Call","Let the Day Begin","No",FALSE,0.428,0.867,2,-5.051,"1",0.0818,0.0241,0.0253,0.715,0.383,124.154,"4",265.744,9,51,1989,FALSE,FALSE,TRUE,FALSE
"Soul Asylum","Misery","No",FALSE,0.38,0.643,0,-8.304,"1",0.0287,4.86e-05,2.67e-05,0.244,0.297,113.674,"4",264.36,14,20,1995,FALSE,FALSE,TRUE,FALSE
"Soul Asylum","Promises Broken","No",FALSE,0.472,0.475,4,-11.115,"1",0.0311,0.138,3.04e-06,0.113,0.718,150.611,"4",194.587,5,63,1996,TRUE,FALSE,FALSE,FALSE
"Natalie Imbruglia","Torn","No",FALSE,0.575,0.886,5,-5.182,"1",0.034,0.0647,0.000187,0.709,0.609,96.309,"4",244.667,2,42,1998,FALSE,FALSE,FALSE,TRUE
"Pure Prairie League","Amie","No",FALSE,0.553,0.449,9,-11.722,"1",0.0292,0.567,0,0.0892,0.423,88.788,"4",260.933,13,27,1975,TRUE,TRUE,FALSE,FALSE
"Pure Prairie League","Two Lane Highway","No",FALSE,0.549,0.589,9,-10.033,"1",0.0355,0.161,0.000482,0.104,0.628,146.781,"4",246.693,1,97,1975,FALSE,TRUE,FALSE,FALSE
"The Charlie Daniels Band","The Devil Went Down to Georgia","No",FALSE,0.523,0.626,0,-9.425,"1",0.0523,0.155,0,0.0869,0.917,134.127,"4",214.867,18,3,1979,FALSE,TRUE,TRUE,TRUE
"The Charlie Daniels Band","In America","No",FALSE,0.64,0.855,0,-9.97,"1",0.0613,0.0888,0.000131,0.0824,0.863,117.72,"4",198.373,15,11,1980,FALSE,TRUE,TRUE,FALSE
"The Charlie Daniels Band","Still In Saigon","No",FALSE,0.565,0.6,8,-11.635,"1",0.0496,0.0525,0,0.122,0.864,148.536,"4",231.373,12,22,1982,TRUE,TRUE,FALSE,FALSE
"The Charlie Daniels Band","Long Haired Country Boy","No",FALSE,0.588,0.58,2,-11.648,"1",0.0275,0.319,3.74e-06,0.2,0.774,145.37,"4",240.107,8,56,1975,FALSE,TRUE,FALSE,FALSE
"The Charlie Daniels Band","The Legend Of Wooley Swamp","No",FALSE,0.475,0.535,7,-11.719,"1",0.0604,0.205,4.45e-06,0.306,0.47,99.593,"4",254.44,14,31,1980,FALSE,FALSE,TRUE,TRUE
"Toad The Wet Sprocket","Walk On the Ocean","No",FALSE,0.395,0.502,6,-8.328,"1",0.0309,0.236,5.79e-06,0.332,0.323,183.237,"3",178.376,20,18,1992,TRUE,FALSE,FALSE,TRUE
"Toad The Wet Sprocket","All I Want","No",FALSE,0.6,0.811,5,-7.693,"1",0.0788,0.0558,6.82e-06,0.109,0.622,124.303,"4",196.116,25,15,1992,FALSE,TRUE,TRUE,TRUE
"Crossfade","Cold","No",FALSE,0.451,0.839,2,-4.264,"0",0.037,3.33e-05,0,0.164,0.644,147.963,"4",198.4,23,81,2004,TRUE,FALSE,TRUE,TRUE
"Pearl Jam","I Am Mine","No",FALSE,0.323,0.728,7,-5.416,"1",0.0321,0.00394,0.00044699999999999,0.102,0.489,161.586,"3",215.333,8,43,2002,FALSE,FALSE,FALSE,TRUE
"Modest Mouse","Float On","No",FALSE,0.649,0.888,6,-4.807,"1",0.0293,0.013,2.23e-06,0.0888,0.553,100.975,"4",208.467,20,68,2004,FALSE,TRUE,TRUE,TRUE
"Crash Test Dummies","Afternoons & Coffeespoons","No",FALSE,0.604,0.866,5,-6.742,"1",0.0335,0.0151,0.00138,0.357,0.752,122.917,"4",235.933,10,66,1994,FALSE,FALSE,TRUE,FALSE
"Crash Test Dummies","Mmm Mmm Mmm Mmm","No",FALSE,0.58,0.575,3,-7.72,"1",0.0231,0.25,1.83e-05,0.0813,0.37,92.934,"4",235.173,24,4,1994,TRUE,TRUE,TRUE,FALSE
"Monica","The First Night","No",FALSE,0.671,0.766,1,-9.218,"0",0.0634,0.139,0,0.26,0.906,152.088,"4",235.573,23,1,1998,TRUE,FALSE,TRUE,TRUE
"Monica","Angel of Mine","No",FALSE,0.592,0.562,10,-6.869,"0",0.0239,0.00373,3.23e-05,0.223,0.208,90.16,"4",250.173,30,1,1998,TRUE,TRUE,FALSE,TRUE
"Mariah Carey","Honey","No",FALSE,0.694,0.824,1,-6.756,"1",0.0909,0.119,7.15e-06,0.152,0.675,95.833,"4",299.827,20,1,1997,TRUE,FALSE,TRUE,TRUE
"Mariah Carey","My All","No",FALSE,0.607,0.317,7,-10.244,"0",0.029,0.732,4.53e-05,0.086,0.111,108.122,"4",230.933,20,1,1998,FALSE,TRUE,TRUE,FALSE
"Eve 6","Here's to the Night","No",FALSE,0.583,0.652,7,-6.255,"1",0.0244,0.0405,0.00037799999999999,0.0781,0.352,97.469,"4",249.84,20,30,2001,FALSE,TRUE,TRUE,TRUE
"Crash Test Dummies","Superman's Song","No",FALSE,0.406,0.124,10,-19.825,"1",0.0342,0.613,1.08e-06,0.108,0.316,168.4,"4",271.6,6,56,1991,FALSE,FALSE,FALSE,TRUE
"Nine Days","If I Am","No",FALSE,0.223,0.902,11,-5.955,"1",0.0579,0.00587,1.63e-06,0.34,0.539,98.038,"4",258.113,5,68,2000,FALSE,FALSE,FALSE,TRUE
"Tim McGraw","Indian Outlaw","No",FALSE,0.664,0.739,9,-7.229,"1",0.0415,0.0364,4.99e-05,0.282,0.759,110.101,"4",182.12,20,15,1994,TRUE,TRUE,TRUE,FALSE
"Tim McGraw","Don't Take The Girl","No",FALSE,0.439,0.454,0,-8.669,"1",0.0308,0.279,0,0.123,0.354,204.263,"4",249.36,20,17,1994,FALSE,TRUE,TRUE,TRUE
"Marc Anthony","I Need to Know","No",FALSE,0.813,0.949,3,-2.563,"0",0.0336,0.486,9.75e-06,0.112,0.792,115.061,"4",227.707,40,3,1999,TRUE,TRUE,TRUE,TRUE
"Marc Anthony","You Sang To Me","No",FALSE,0.578,0.894,10,-5.42,"1",0.0296,0.0103,2.66e-06,0.216,0.741,165.98,"4",347.107,32,2,2000,TRUE,TRUE,TRUE,FALSE
"Marc Anthony","My Baby You","No",FALSE,0.443,0.596,0,-5.366,"0",0.0294,0.688,0,0.167,0.186,115.597,"4",236.96,20,70,2000,TRUE,FALSE,TRUE,TRUE
"Tim McGraw","My Best Friend","No",FALSE,0.444,0.484,9,-8.311,"1",0.0289,0.12,0,0.135,0.263,147.715,"4",279.867,21,29,1999,TRUE,TRUE,FALSE,TRUE
"Tim McGraw","Some Things Never Change","No",FALSE,0.575,0.496,4,-10.068,"1",0.026,0.347,0,0.124,0.414,89.958,"4",236.6,14,58,2000,FALSE,TRUE,TRUE,FALSE
"Tim McGraw","Something Like That","No",FALSE,0.507,0.85,5,-5.679,"1",0.0472,0.378,0,0.0567,0.847,171.8,"4",183.733,20,28,1999,FALSE,FALSE,TRUE,TRUE
"Tim McGraw","Please Remember Me","No",FALSE,0.465,0.54,1,-7.097,"1",0.0277,0.177,2.82e-06,0.106,0.234,75.88,"4",296.333,20,10,1999,FALSE,TRUE,TRUE,FALSE
"Tim McGraw","My Next Thirty Years","No",FALSE,0.605,0.804,5,-7.521,"1",0.0363,0.265,4.93e-06,0.345,0.601,98.866,"4",217.733,20,27,2000,TRUE,FALSE,FALSE,TRUE
"Indigo Girls","Closer to Fine","No",FALSE,0.531,0.691,9,-6.353,"1",0.0291,0.319,0,0.223,0.745,98.386,"4",241.667,9,52,1989,FALSE,FALSE,TRUE,FALSE
"Indigo Girls","Galileo","No",FALSE,0.497,0.686,5,-7.966,"1",0.0386,0.708,0,0.106,0.744,101.274,"4",251.133,2,89,1992,FALSE,FALSE,TRUE,FALSE
"Cyndi Lauper","Money Changes Everything","No",FALSE,0.594,0.883,6,-4.013,"1",0.0375,0.0186,6.14e-05,0.331,0.706,120.465,"4",305.56,13,27,1984,TRUE,FALSE,FALSE,TRUE
"Cyndi Lauper","Girls Just Want to Have Fun","No",FALSE,0.71,0.799,6,-4.897,"1",0.0328,0.22,0.000602,0.349,0.725,120.372,"4",238.267,25,2,1983,TRUE,TRUE,FALSE,TRUE
"Cyndi Lauper","Time After Time","No",FALSE,0.726,0.449,0,-9.206,"1",0.0286,0.487,1.34e-06,0.0824,0.294,130.388,"4",241.333,20,1,1984,FALSE,TRUE,TRUE,FALSE
"Cyndi Lauper","She Bop","No",FALSE,0.583,0.891,9,-4.565,"0",0.0345,0.00088,0.00016299999999999,0.103,0.814,136.794,"4",229.267,18,3,1984,FALSE,FALSE,TRUE,TRUE
"Cyndi Lauper","All Through the Night","No",FALSE,0.573,0.65,8,-5.934,"1",0.0257,0.201,1.58e-06,0.048,0.346,95.1,"4",272.84,19,5,1984,TRUE,FALSE,FALSE,TRUE
"The Ataris","The Boys of Summer","No",FALSE,0.251,0.954,6,-2.879,"1",0.0691,0.000674,0.000132,0.0975,0.264,191.059,"4",258,18,20,2003,FALSE,FALSE,TRUE,TRUE
"Cyndi Lauper","Change of Heart","No",FALSE,0.706,0.847,1,-6.134,"1",0.0831,0.226,0.000104,0.0632,0.495,119.768,"4",264.773,17,3,1986,TRUE,FALSE,FALSE,TRUE
"Cyndi Lauper","Boy Blue","No",FALSE,0.763,0.761,0,-7.401,"1",0.0285,0.0653,0.0382,0.0903,0.907,119.861,"4",286.587,4,71,1987,FALSE,TRUE,TRUE,FALSE
"Cyndi Lauper","True Colors","No",FALSE,0.397,0.207,0,-13.155,"1",0.0331,0.701,3.07e-05,0.116,0.268,171.282,"4",227.6,20,1,1986,TRUE,FALSE,TRUE,TRUE
"Cyndi Lauper","What's Going On","No",FALSE,0.37,0.726,7,-7.907,"0",0.0446,0.27,0.0397,0.109,0.43,96.913,"4",278.4,13,12,1987,TRUE,TRUE,FALSE,FALSE
"Brooks & Dunn","My Maria","No",FALSE,0.693,0.705,3,-6.753,"1",0.0254,0.117,0.000609,0.0626,0.912,125.409,"4",210.867,12,79,1996,FALSE,TRUE,TRUE,FALSE
"New Kids On The Block","You Got It (The Right Stuff)","No",FALSE,0.787,0.522,0,-13.029,"0",0.0578,0.0126,1.34e-06,0.0671,0.923,111.576,"4",249.96,26,3,1988,TRUE,TRUE,FALSE,TRUE
"New Kids On The Block","Please Don't Go Girl","No",FALSE,0.669,0.432,3,-12.854,"1",0.0407,0.136,3.75e-05,0.21,0.53,152.16,"4",263.533,28,10,1988,FALSE,TRUE,TRUE,TRUE
"New Kids On The Block","I'll Be Loving You (Forever)","No",FALSE,0.597,0.282,11,-17.23,"1",0.0256,0.285,0,0.105,0.301,134.797,"4",263.933,21,1,1989,FALSE,TRUE,TRUE,FALSE
"New Kids On The Block","Cover Girl","No",FALSE,0.721,0.765,6,-13.036,"1",0.0345,0.0344,2.83e-06,0.322,0.948,119.95,"4",241.84,18,2,1989,TRUE,FALSE,TRUE,TRUE
"New Kids On The Block","Hangin' Tough","No",FALSE,0.763,0.552,6,-11.98,"1",0.0449,0.119,0.000695,0.28,0.744,90.775,"4",256.56,17,1,1989,FALSE,FALSE,TRUE,TRUE
"Megan Thee Stallion","Shots Fired","No",FALSE,0.83,0.67,2,-4.911,"1",0.291,5e-04,0,0.0889,0.435,184.027,"4",170.871,1,82,2020,FALSE,FALSE,FALSE,TRUE
"Megan Thee Stallion","Circles","No",FALSE,0.859,0.771,6,-8.865,"0",0.172,0.0298,0,0.355,0.777,111.099,"4",170.641,1,94,2020,FALSE,FALSE,FALSE,TRUE
"Megan Thee Stallion","Body","No",FALSE,0.914,0.726,8,-6.183,"0",0.259,0.0135,0,0.106,0.46,94.044,"4",171.067,4,12,2020,FALSE,FALSE,FALSE,TRUE
"Megan Thee Stallion","Girls in the Hood","No",FALSE,0.825,0.82,6,-3.911,"1",0.356,0.00664,0,0.0489,0.854,179.975,"4",154.389,18,28,2020,FALSE,FALSE,TRUE,TRUE
"Ozzy Osbourne","Mama, I'm Coming Home","No",FALSE,0.282,0.656,8,-6.557,"1",0.0302,0.0105,0,0.0892,0.242,139.352,"4",251.867,17,28,1992,TRUE,TRUE,FALSE,FALSE
"Ozzy Osbourne","No More Tears","No",FALSE,0.346,0.749,6,-6.506,"1",0.035,0.00166999999999999,8.86e-05,0.648,0.315,102.591,"4",443.24,9,71,1991,TRUE,FALSE,FALSE,TRUE
"Rick Astley","Cry For Help","No",FALSE,0.567,0.435,0,-15.835,"1",0.0236,0.563,0,0.144,0.547,89.912,"4",291.8,20,7,1991,TRUE,TRUE,FALSE,FALSE
"Rick Astley","Move Right Out","No",FALSE,0.626,0.735,7,-14.244,"0",0.0305,0.36,8.36e-05,0.105,0.764,106.871,"4",235.84,5,81,1991,FALSE,TRUE,TRUE,FALSE
"Gloria Estefan","Here We Are","No",FALSE,0.707,0.53,9,-11.992,"1",0.0322,0.655,1.85e-05,0.101,0.618,142.146,"4",289.907,21,6,1989,TRUE,TRUE,FALSE,TRUE
"Gloria Estefan","Get On Your Feet","No",FALSE,0.734,0.817,9,-7.533,"1",0.0385,0.036,0.00209,0.121,0.914,123.919,"4",217.733,17,11,1989,TRUE,FALSE,TRUE,TRUE
"Gloria Estefan","Don't Wanna Lose You","No",FALSE,0.548,0.404,5,-12.256,"1",0.0242,0.489,2.41e-06,0.143,0.479,82.203,"4",249.067,18,1,1989,FALSE,FALSE,TRUE,TRUE
"Gloria Estefan","Coming Out Of The Dark","No",FALSE,0.64,0.422,4,-11.739,"1",0.0464,0.63,0,0.149,0.493,131.792,"4",244.427,19,1,1991,TRUE,TRUE,FALSE,FALSE
"Gloria Estefan","I See Your Smile","No",FALSE,0.403,0.457,9,-8.984,"1",0.0272,0.237,0,0.185,0.231,79.188,"4",274.133,17,48,1993,TRUE,TRUE,FALSE,FALSE
"Gloria Estefan","Always Tomorrow","No",FALSE,0.451,0.369,6,-9.818,"1",0.0304,0.32,0,0.167,0.254,131.541,"4",290.533,6,81,1992,FALSE,FALSE,FALSE,TRUE
"Bob Dylan","Subterranean Homesick Blues","No",FALSE,0.576,0.727,4,-9.973,"0",0.05,0.702,0,0.324,0.751,173.854,"4",141.293,8,39,1965,FALSE,TRUE,FALSE,FALSE
"Kenny Chesney","That's Why I'm Here","No",FALSE,0.656,0.3,4,-10.942,"1",0.0325,0.48,4.33e-06,0.187,0.223,136.967,"4",241.4,7,79,1998,FALSE,TRUE,FALSE,FALSE
